Category,URL
phishing,logtelstra2021.ddnsking.com/0dfa1b53b835500696e9a1f02cd1f464/
phishing,dvsber.ru/modules/mod_ariimageslidersa/KRENK3N453/e2d9ebfbc01e29f3061836c0dd7ce5dd
phishing,kimsinc564.000webhostapp.com/notification.php?email=[[-Email-]]
phishing,benjim.com/all
phishing,www.m.micesrunescape.com-we.ru/
phishing,www.durgaitsolutions.com/css/ANZ/Anz/
phishing,docs.google.com/forms/d/e/1FAIpQLSd8vKW5fXErOE_PXA7N5cDFpuKhAHBG_7K7sg0iUoSh_xsyOA/viewform?usp=send_form
phishing,www.webhostingbingo.com/wp-admin/user/UPDAT-ACCOUNT/PPL/
phishing,www.startseite-verden.de/
phishing,bdlands.com/JFDDRDJD/Daum/Daum.html?mkt=ra-hf
phishing,seguranc68.dominiotemporario.com/~/index.html?6JW
phishing,1031541289.000webhostapp.com/
phishing,secure.runescape.com-o.xyz/
phishing,amazon-cls-eoa-jp-co-cous-ext.zielspro.com/
non-phishing,www.cbaarchitects.com/charlan-brock-associates-l.html
non-phishing,tools.ietf.org/html/rfc477
non-phishing,www.angelfire.com/tx5/wiz/index.html
phishing,janusvet.cz/new/media/mod_languages/cox/
phishing,www.account.primemotorsandelectronics.co.uk/webEntry/?hl=en&pa
phishing,www.facebook.com.https.s1.gvirabi.com/login?next=www.facebook.com/ryan.black.37454961
non-phishing,www.vrconsulting.it/vhf/
phishing,morzinedecoeur.fr/main/dhl-comming/dhl
phishing,informationservice.fromamazonsupporteam.cyou/
non-phishing,www.rastersoft.com/fbzx.html
phishing,woodworkpalace.com/onlinnnr/wp-online/storeis/Mode/Cwd/MS-GO/Up/Verification%20UPCC%20Online&Billing.%20SUPPORT-88127138149565282336/
non-phishing,www.badflash.com/iopener.html
phishing,agent.homelisting-realestate.slickmartng.com/
phishing,www.omelhordiadecompras.com/simples-login/entrar&amp;hnuhgjb
phishing,www.galshop.ir/Document/Document/SP12/SP12/SP/Orf1UyzPti7TERLoFdVQD3k8bv625&amp;amSJBGnZCHeYshN0_AlW9IxXM4wcK/personal.php?loqln=sbmit&amp;id=317a4780cd64f758298d198cbe1a8e&amp;session=492bf199d9c47170c44ea5561bc0e70e
phishing,u.to/umxgGg
phishing,transit-e.com/scripts/64a4250dded75fcc7ac237f910e8a54e602446d1d7c5d
non-phishing,pclt.cis.yale.edu/pclt/default.htm
non-phishing,members.tripod.com/jamesmwelch/mountaineerrecovery.html
phishing,paypal-secure-account.blogspot.com/
non-phishing,elvis.rowan.edu/~bps
phishing,starlingfinances.com/welcome/index.html
phishing,www.dexlerholdings.com/realty/wp-content/themes/twentytwelve/slovenly/
non-phishing,biphome.spray.se/ferryweb/
non-phishing,www.freewebs.com/ultragamersguild/
non-phishing,www.ulb.ac.be/facs/sciences/info/
non-phishing,www.ringsurf.com/ring/songfairy/
non-phishing,tools.ietf.org/html/rfc626
phishing,fastyfish.com/~jillhoo/crowdnewspaper.com/storage/framework/sessions/service/3otuwyjc=/Login.alibaba.com.html
phishing,servicemailyahoo8777.weebly.com/
non-phishing,www.cs.waikato.ac.nz/~ml
non-phishing,www.keprt.cz/progs/ascd/
non-phishing,tools.ietf.org/html/rfc1008
phishing,a45anow.com/doc/file/office-new-RD85-modify-auto
phishing,34.64.135.19/qhagd7do8tp5efhkjhld54pbnzlsj21t5y4/
non-phishing,tools.ietf.org/html/rfc1472
phishing,s.yam.com/4JZ9E
non-phishing,www.microsoft.com/careers/
non-phishing,www.producegreen.org.hk/eng/index_e.htm
phishing,orange-rdv-mvp.ayaline.com/
non-phishing,tools.ietf.org/html/rfc1603
phishing,www.amazon-ot.shop/
phishing,order-yudobashi-com.bewn666a.top/pc/login.php
phishing,amizi.net/smi.cers/login.jsp.php?session_id=3ZoLpf1RNWnASbzag9uaAxmDO0Gtt5ZPjshumBw0gtPeqZBMfJS3Pm6a1Bzg0h5Iv56yuubB9Qq2nnSR
phishing,sobisparkss-poser.blogspot.com/
phishing,ruekrew.com/girl/courtney-thompson
non-phishing,www.levenez.com/lang/
phishing,7yu3v.csb.app/
phishing,services.runescape.com-mss-forum.totalh.net/
non-phishing,www.angelfire.com/yt/pashmina/main.html
non-phishing,tools.ietf.org/html/rfc1605
non-phishing,www.vik.cc/bluemsx/
phishing,r2v-art.ru//install122222/language/en-gb/common/cache
phishing,auth-boi-online.com/
phishing,warninglinesupportingadmin.co/addorder/mazon/ce5c9/
non-phishing,www.uniquepolymersystems.com/roodhart/index.html
non-phishing,www.cs.princeton.edu/shrimp/html/communication.html
phishing,www.pttsservices.runescape.com-gf.ru/
phishing,www2.thepmk.ac.th/thepmk2/myoffice/ckeditor/skins/offic.2003
non-phishing,www.netins.net/showcase/sam/sme.htm
phishing,stemcomnunnity.com
phishing,ccac46a326a9d57542de5d9f325ea6b9-dot-gle9392420309493993.rj.r.appspot.com/
phishing,aliah.ac.in/2n020/setmodule/
phishing,n4r7u.app.link/0Axi2EKKK3
non-phishing,www.aximetrix.com/home.htm
phishing,forfaitsiilimiter2.web.app/
non-phishing,en.wikibooks.org/wiki/GNU_C_Compiler_Internals
non-phishing,invention.smithsonian.org/centerpieces/whole_cloth/
non-phishing,www.informatik.uni-trier.de/~ley/db/conf/ecml/index.html
non-phishing,www.bahrbros.com/facilities.asp
phishing,e-learningmialmaarifmrk.sch.id/cooba/spider/
phishing,armatheatre.org/.tmp/
phishing,ellsworthbuilt.com/sh/23553467i/desj/desj2.php
non-phishing,www.wma-minelife.com/uranium/uranium.html
phishing,nicenecei.geronmonet.cn/?HVyRD*eZE$*RDcTfVYGUHJINUHBYjgFtcDRXE$*E$xTDRcyFTgy
non-phishing,dmoz.org/guidelines/kguidelines/
non-phishing,www.xuduan.com.cn/English/index.asp?column=c00
phishing,www.amazon.jp-8.club/
phishing,firebasestorage.googleapis.com/v0/b/ceoagogo-76923.appspot.com/o/owa20934856%2Findex.html?alt=media&token=7a9d6756-93f2-499f-9f94-a9aaa3c5dd51#service.itz@zhdk.ch
non-phishing,tools.ietf.org/html/rfc2645
non-phishing,users.hunterlink.net.au/~ddjfb/
phishing,jp-amazon.3ttl.top/?koadjjzyraw0rhew
phishing,www.jcbyk.com/member/free.fr/cmd/ad3ce894c310fe0c8043d91f23e70be2/moncompte/index.php?clientid=13698&amp;default=5bcb4ee6210978b259fa84f756345fe1
phishing,slack-redir.net/link?url=bit.ly/3lEFgwG
phishing,lootrow.com/
non-phishing,www.prospects.ac.uk/cms/ShowPage/Home_page/Applications_and_interviews/p!eefmd
phishing,18joingrupwahot.duckdns.org/
phishing,facebooikk.duckdns.org/
phishing,haoizx.com/opmv/
non-phishing,tools.ietf.org/html/rfc1735
